Location,FIPS,"Mortality Rate, 1980*","Mortality Rate, 1985*","Mortality Rate, 1990*","Mortality Rate, 1995*","Mortality Rate, 2000*","Mortality Rate, 2005*","Mortality Rate, 2010*","Mortality Rate, 2014*","% Change in Mortality Rate, 1980-2014"
"Lake County, California",6033,"457.81 (435.35, 481.30)","442.11 (421.95, 462.90)","402.49 (384.48, 421.08)","397.17 (379.47, 416.75)","385.48 (368.97, 402.31)","345.03 (328.63, 360.59)","301.44 (286.90, 316.21)","306.09 (290.18, 322.12)","-33.14 (-37.58, -28.10)"
"Lassen County, California",6035,"455.32 (425.30, 486.18)","425.38 (398.45, 451.93)","374.39 (352.60, 397.33)","350.00 (330.12, 368.17)","327.64 (309.04, 347.32)","293.36 (277.13, 311.30)","264.29 (248.66, 281.84)","259.72 (241.70, 276.89)","-42.96 (-47.78, -37.33)"
"Los Angeles County, California",6037,"533.47 (522.46, 543.45)","492.55 (483.05, 501.60)","452.79 (444.39, 461.22)","389.48 (381.92, 396.77)","351.16 (345.07, 357.61)","292.40 (286.86, 298.06)","239.26 (234.36, 244.09)","218.78 (213.46, 224.10)","-58.99 (-59.80, -58.13)"
"Madera County, California",6039,"441.36 (416.87, 468.04)","410.02 (389.07, 431.87)","364.54 (346.54, 381.55)","350.19 (332.47, 367.47)","332.59 (317.74, 347.91)","287.52 (275.51, 301.70)","264.14 (252.06, 276.01)","254.85 (241.88, 267.69)","-42.26 (-46.41, -37.91)"
"Marin County, California",6041,"429.20 (406.45, 450.87)","386.58 (366.86, 403.93)","323.54 (309.49, 338.64)","293.22 (280.45, 306.16)","255.45 (244.55, 266.22)","206.49 (197.72, 215.69)","168.10 (160.62, 175.89)","160.51 (153.04, 167.82)","-62.60 (-64.78, -60.08)"
"Mariposa County, California",6043,"447.00 (413.38, 482.25)","412.10 (385.29, 439.83)","358.57 (337.93, 381.08)","335.01 (314.59, 355.03)","300.56 (283.94, 318.40)","264.48 (248.14, 281.39)","223.13 (208.66, 239.68)","224.11 (207.25, 240.85)","-49.86 (-55.14, -44.12)"
"Mendocino County, California",6045,"451.94 (428.40, 475.23)","435.62 (413.45, 458.31)","370.63 (353.54, 389.00)","352.03 (336.08, 368.41)","327.54 (312.70, 341.75)","282.63 (270.20, 295.55)","258.74 (246.50, 272.26)","254.66 (243.02, 267.13)","-43.65 (-47.16, -39.58)"
"Merced County, California",6047,"473.19 (449.81, 496.28)","434.58 (415.23, 453.32)","384.16 (367.24, 400.16)","363.34 (348.08, 378.29)","336.64 (323.10, 350.30)","298.87 (287.84, 311.11)","263.54 (253.07, 275.01)","261.71 (250.23, 272.59)","-44.69 (-48.10, -41.08)"
"Modoc County, California",6049,"444.99 (411.95, 480.23)","420.29 (391.19, 452.57)","383.01 (357.76, 409.00)","360.19 (336.93, 383.30)","334.07 (311.59, 356.88)","285.58 (266.83, 304.45)","267.02 (247.74, 285.70)","267.34 (247.30, 288.25)","-39.92 (-46.04, -33.76)"
"Mono County, California",6051,"342.48 (312.32, 373.95)","321.98 (293.63, 349.21)","277.96 (255.38, 302.87)","263.20 (243.29, 284.54)","239.69 (220.07, 260.00)","196.61 (180.62, 214.38)","162.82 (147.81, 178.97)","163.24 (148.36, 179.62)","-52.33 (-57.16, -47.02)"
"Monterey County, California",6053,"434.63 (415.95, 452.41)","408.28 (392.41, 423.78)","350.87 (337.62, 365.82)","313.30 (302.05, 325.54)","284.33 (272.93, 295.41)","242.33 (233.21, 251.92)","208.40 (200.74, 216.01)","196.14 (188.54, 204.54)","-54.87 (-57.17, -52.37)"
"Napa County, California",6055,"384.64 (365.22, 404.82)","361.39 (342.66, 378.68)","333.03 (316.37, 348.74)","318.65 (304.18, 333.99)","305.18 (292.26, 318.14)","258.48 (246.95, 270.36)","237.20 (225.81, 248.42)","227.73 (216.38, 240.51)","-40.79 (-44.51, -36.59)"
"Nevada County, California",6057,"386.79 (366.24, 407.66)","347.75 (329.51, 365.17)","306.33 (291.25, 321.80)","279.15 (265.23, 291.55)","267.35 (255.16, 279.21)","232.79 (221.61, 243.96)","203.16 (194.43, 213.21)","202.01 (191.84, 212.08)","-47.77 (-51.19, -44.22)"
"Orange County, California",6059,"440.52 (426.43, 453.95)","416.61 (405.36, 427.01)","381.65 (371.49, 391.85)","344.99 (335.82, 354.62)","310.09 (301.84, 318.01)","251.76 (245.55, 258.44)","211.37 (205.33, 217.83)","205.80 (199.64, 211.98)","-53.28 (-54.75, -51.73)"
"Placer County, California",6061,"450.13 (427.94, 471.92)","411.96 (394.15, 432.27)","360.43 (345.85, 376.32)","324.55 (310.63, 338.97)","294.42 (282.36, 306.35)","252.47 (242.49, 262.95)","220.23 (211.76, 229.02)","203.33 (194.96, 211.72)","-54.83 (-57.27, -52.12)"
"Plumas County, California",6063,"420.99 (394.60, 448.04)","377.10 (354.47, 401.15)","339.77 (319.91, 359.21)","322.24 (305.13, 339.59)","300.81 (284.05, 317.98)","268.19 (252.22, 284.06)","241.42 (226.58, 256.72)","244.89 (229.06, 262.32)","-41.83 (-46.98, -36.60)"
"Riverside County, California",6065,"489.54 (474.47, 504.34)","468.56 (454.85, 481.87)","405.06 (393.52, 416.47)","384.21 (373.44, 395.14)","350.15 (340.72, 359.15)","301.13 (292.42, 309.39)","249.96 (242.50, 257.12)","237.61 (230.72, 244.42)","-51.46 (-53.20, -49.77)"
"Sacramento County, California",6067,"467.78 (452.02, 483.79)","437.45 (423.13, 452.00)","383.99 (371.54, 395.37)","357.46 (346.67, 367.76)","337.31 (328.26, 346.78)","295.47 (287.45, 304.16)","254.37 (247.07, 262.05)","251.78 (243.74, 259.50)","-46.18 (-48.18, -44.06)"
"San Benito County, California",6069,"447.55 (418.77, 476.27)","405.16 (381.01, 429.01)","347.32 (328.39, 367.29)","315.84 (298.29, 332.10)","288.42 (272.73, 304.74)","241.04 (228.11, 254.01)","209.33 (196.34, 222.14)","204.17 (191.24, 217.49)","-54.38 (-58.28, -49.84)"
"San Bernardino County, California",6071,"517.29 (502.59, 532.35)","510.68 (496.56, 524.57)","446.60 (434.07, 458.84)","427.45 (415.74, 438.78)","387.82 (378.05, 398.20)","351.29 (342.26, 360.46)","291.95 (284.56, 299.17)","269.75 (262.41, 277.23)","-47.85 (-49.56, -45.96)"
"San Diego County, California",6073,"420.14 (406.07, 433.96)","390.03 (377.64, 401.50)","350.58 (340.02, 361.05)","331.88 (321.94, 341.27)","305.60 (297.12, 314.51)","253.19 (245.99, 260.65)","215.94 (209.56, 222.69)","206.00 (199.63, 212.02)","-50.97 (-52.52, -49.41)"
"San Francisco County, California",6075,"472.18 (456.89, 487.81)","441.04 (428.39, 453.77)","399.21 (387.12, 411.18)","360.15 (348.75, 370.87)","294.12 (284.68, 303.49)","235.62 (227.96, 243.32)","196.71 (190.11, 203.11)","179.77 (173.86, 185.96)","-61.93 (-63.51, -60.23)"
"San Joaquin County, California",6077,"490.85 (473.74, 506.69)","461.59 (444.52, 478.54)","416.48 (401.80, 431.38)","389.98 (376.89, 403.60)","363.04 (351.72, 374.61)","339.03 (328.68, 350.03)","282.04 (272.68, 290.96)","274.72 (265.73, 284.57)","-44.03 (-46.38, -41.45)"
"San Luis Obispo County, California",6079,"431.49 (411.95, 451.34)","385.68 (368.97, 402.42)","354.90 (338.88, 370.02)","328.42 (315.68, 340.27)","292.48 (280.89, 304.46)","258.24 (247.84, 267.64)","236.22 (227.40, 245.66)","227.44 (218.16, 237.12)","-47.29 (-50.20, -44.27)"
"San Mateo County, California",6081,"422.65 (406.14, 439.53)","379.46 (365.47, 394.43)","337.73 (324.92, 350.44)","306.93 (296.13, 317.58)","264.03 (254.29, 273.17)","227.65 (219.68, 235.23)","191.49 (184.61, 198.23)","175.52 (168.76, 181.74)","-58.47 (-60.31, -56.68)"
"Santa Barbara County, California",6083,"396.86 (380.80, 415.26)","370.68 (353.72, 387.35)","320.23 (307.18, 333.51)","311.49 (299.36, 323.87)","291.82 (280.48, 303.06)","253.43 (244.49, 263.33)","221.06 (212.26, 230.26)","214.75 (206.90, 223.22)","-45.89 (-48.58, -42.89)"
"Santa Clara County, California",6085,"428.40 (413.55, 445.12)","387.30 (373.02, 401.82)","340.99 (328.37, 352.59)","310.32 (300.17, 320.35)","272.63 (264.20, 281.63)","211.77 (205.18, 218.67)","177.74 (171.73, 183.50)","170.28 (164.45, 176.11)","-60.25 (-61.72, -58.76)"
"Santa Cruz County, California",6087,"404.90 (385.39, 425.16)","387.43 (370.45, 405.05)","341.72 (326.17, 356.32)","331.79 (318.21, 345.61)","302.01 (290.02, 314.83)","250.49 (239.96, 261.13)","223.35 (213.46, 233.18)","213.49 (203.59, 223.96)","-47.27 (-50.45, -43.86)"
"Shasta County, California",6089,"432.07 (408.73, 454.39)","401.15 (382.68, 419.49)","372.93 (356.90, 389.59)","361.43 (346.39, 376.31)","337.83 (324.47, 351.39)","310.05 (297.24, 322.77)","289.19 (278.46, 301.79)","290.95 (279.37, 303.14)","-32.66 (-36.52, -28.26)"
"Sierra County, California",6091,"393.89 (357.95, 431.05)","367.04 (336.49, 400.06)","332.00 (304.23, 360.78)","319.64 (292.03, 345.95)","303.56 (276.85, 330.99)","273.61 (247.88, 299.94)","241.69 (215.41, 267.13)","226.50 (202.91, 252.19)","-42.50 (-49.16, -33.92)"
"Siskiyou County, California",6093,"439.76 (416.57, 466.46)","406.45 (385.57, 428.09)","368.54 (351.23, 387.05)","355.38 (337.28, 373.78)","325.32 (309.93, 340.87)","287.03 (273.08, 301.37)","259.76 (246.56, 273.47)","254.47 (241.42, 267.98)","-42.13 (-46.18, -37.71)"
"Solano County, California",6095,"468.11 (445.52, 489.24)","436.65 (417.83, 455.02)","366.39 (352.11, 382.32)","340.28 (327.09, 355.45)","308.51 (296.00, 319.84)","258.92 (249.68, 268.74)","220.49 (211.91, 229.14)","206.95 (199.23, 214.90)","-55.79 (-58.03, -53.38)"
"Sonoma County, California",6097,"426.81 (409.24, 443.81)","394.86 (380.29, 410.27)","340.08 (325.68, 353.91)","316.53 (303.89, 328.78)","309.37 (297.98, 320.96)","260.89 (251.27, 270.23)","234.98 (225.96, 243.95)","220.22 (211.88, 228.38)","-48.40 (-50.90, -45.76)"
"Stanislaus County, California",6099,"465.58 (446.88, 483.55)","475.36 (457.49, 494.95)","385.15 (371.20, 399.05)","398.80 (385.12, 414.63)","386.25 (372.95, 399.97)","340.71 (328.66, 352.44)","302.79 (292.17, 313.99)","297.84 (287.88, 308.16)","-36.03 (-39.07, -32.67)"
"Sutter County, California",6101,"506.93 (480.69, 535.79)","470.73 (448.22, 494.80)","417.89 (398.66, 436.83)","394.57 (377.36, 413.68)","383.44 (366.68, 400.03)","322.64 (307.94, 338.50)","284.07 (270.56, 297.98)","272.94 (259.99, 286.13)","-46.16 (-49.83, -42.23)"
"Tehama County, California",6103,"463.80 (435.91, 489.72)","428.92 (405.47, 451.81)","388.69 (369.87, 408.74)","376.40 (359.72, 393.38)","335.20 (319.42, 350.73)","292.94 (279.48, 306.41)","261.35 (249.02, 274.17)","258.93 (244.95, 272.51)","-44.17 (-48.38, -39.66)"
"Trinity County, California",6105,"454.63 (420.71, 488.54)","415.07 (387.46, 443.99)","371.00 (347.13, 395.01)","346.31 (325.44, 368.85)","325.01 (305.23, 344.71)","280.19 (262.52, 298.43)","241.03 (223.88, 259.65)","236.40 (217.91, 254.96)","-48.00 (-53.09, -42.21)"
"Tulare County, California",6107,"498.81 (478.52, 518.94)","445.80 (427.90, 462.73)","430.72 (415.12, 446.68)","418.39 (403.61, 433.33)","382.56 (370.11, 395.58)","344.70 (333.59, 356.48)","305.73 (295.50, 316.88)","292.11 (281.23, 303.24)","-41.44 (-44.47, -38.01)"
"Tuolumne County, California",6109,"420.00 (396.09, 444.39)","390.88 (371.48, 411.70)","346.09 (329.13, 364.46)","327.68 (312.93, 344.70)","310.87 (295.58, 326.30)","268.35 (255.04, 282.14)","239.11 (225.99, 251.93)","242.95 (229.71, 256.79)","-42.16 (-46.30, -37.21)"
"Ventura County, California",6111,"423.51 (407.61, 439.46)","380.61 (366.21, 395.66)","339.63 (326.92, 352.36)","307.66 (296.70, 319.04)","296.18 (286.42, 306.63)","242.36 (234.27, 249.81)","216.05 (209.00, 223.63)","204.92 (197.34, 212.15)","-51.61 (-53.88, -49.30)"
"Yolo County, California",6113,"513.91 (487.59, 540.04)","457.85 (436.00, 479.58)","376.75 (359.60, 393.43)","340.54 (325.41, 355.82)","304.75 (290.85, 318.55)","258.94 (247.37, 270.73)","215.05 (205.63, 224.97)","204.77 (195.58, 213.85)","-60.15 (-62.60, -57.60)"
"Yuba County, California",6115,"518.34 (490.23, 547.11)","510.55 (483.92, 536.93)","459.09 (438.26, 481.93)","442.03 (421.17, 463.31)","424.23 (405.15, 443.45)","371.40 (353.51, 389.16)","326.77 (310.86, 343.31)","331.62 (313.92, 349.18)","-36.02 (-40.83, -30.85)"
Colorado,8,"401.63 (390.33, 412.62)","371.32 (360.89, 381.38)","331.71 (322.93, 340.65)","306.55 (297.47, 314.69)","280.94 (273.18, 288.90)","242.88 (236.46, 249.44)","205.59 (199.96, 211.24)","209.52 (203.89, 215.40)","-47.83 (-49.02, -46.58)"
"Adams County, Colorado",8001,"394.97 (380.70, 409.03)","367.65 (355.01, 379.81)","332.26 (321.87, 342.76)","305.44 (294.61, 315.45)","277.82 (268.41, 287.15)","241.09 (233.62, 248.76)","200.86 (194.41, 206.99)","210.76 (204.08, 216.85)","-46.64 (-48.29, -44.71)"
"Alamosa County, Colorado",8003,"421.89 (385.64, 460.68)","399.54 (368.17, 433.21)","358.97 (332.35, 385.56)","349.02 (324.68, 373.58)","324.88 (302.85, 348.94)","288.84 (268.71, 311.93)","248.67 (230.61, 269.14)","256.52 (235.76, 280.13)","-39.20 (-45.56, -31.84)"
"Arapahoe County, Colorado",8005,"394.97 (380.70, 409.03)","367.65 (355.01, 379.81)","332.26 (321.87, 342.76)","305.44 (294.61, 315.45)","277.82 (268.41, 287.15)","241.09 (233.62, 248.76)","200.86 (194.41, 206.99)","210.76 (204.08, 216.85)","-46.64 (-48.29, -44.71)"
"Archuleta County, Colorado",8007,"348.94 (315.77, 386.56)","308.01 (281.20, 337.55)","262.01 (241.36, 284.48)","239.27 (219.91, 259.74)","213.36 (196.81, 231.63)","177.12 (162.74, 192.20)","152.74 (139.85, 166.72)","149.80 (136.27, 163.32)","-57.07 (-61.95, -52.10)"
"Baca County, Colorado",8009,"457.68 (420.92, 497.38)","434.54 (400.83, 466.70)","386.49 (358.80, 414.90)","368.93 (343.26, 395.64)","347.38 (319.70, 373.76)","302.45 (276.29, 327.37)","279.14 (255.51, 303.55)","281.98 (255.78, 309.30)","-38.39 (-45.13, -30.34)"
"Bent County, Colorado",8011,"434.06 (399.20, 471.19)","406.71 (376.33, 437.48)","358.90 (333.38, 384.60)","345.10 (319.14, 372.40)","321.77 (298.90, 347.18)","284.28 (262.59, 307.66)","254.59 (233.45, 277.90)","248.74 (226.41, 273.58)","-42.69 (-49.32, -35.18)"
"Boulder County, Colorado",8013,"394.97 (380.70, 409.03)","367.65 (355.01, 379.81)","332.26 (321.87, 342.76)","305.44 (294.61, 315.45)","277.82 (268.41, 287.15)","241.09 (233.62, 248.76)","200.86 (194.41, 206.99)","210.76 (204.08, 216.85)","-46.64 (-48.29, -44.71)"
"Broomfield County, Colorado",8014,"394.97 (380.70, 409.03)","367.65 (355.01, 379.81)","332.26 (321.87, 342.76)","305.44 (294.61, 315.45)","277.82 (268.41, 287.15)","241.09 (233.62, 248.76)","200.86 (194.41, 206.99)","210.76 (204.08, 216.85)","-46.64 (-48.29, -44.71)"
"Chaffee County, Colorado",8015,"466.80 (433.22, 504.58)","419.84 (390.46, 451.28)","358.88 (336.27, 383.01)","324.57 (303.51, 345.11)","287.90 (270.38, 305.56)","231.88 (217.15, 246.35)","196.20 (182.39, 210.14)","191.33 (176.55, 205.47)","-59.01 (-62.95, -54.69)"
"Cheyenne County, Colorado",8017,"419.85 (375.48, 472.23)","376.84 (339.89, 416.53)","321.60 (292.26, 352.62)","312.42 (282.83, 341.05)","296.57 (268.00, 323.97)","250.48 (224.93, 278.01)","219.34 (193.64, 246.58)","213.69 (188.13, 240.79)","-49.10 (-56.31, -40.61)"
"Clear Creek County, Colorado",8019,"400.59 (361.01, 441.05)","362.09 (330.22, 396.52)","307.89 (282.32, 336.32)","285.26 (262.42, 309.55)","252.29 (230.61, 275.73)","223.36 (202.94, 245.70)","185.61 (167.69, 204.41)","181.20 (163.15, 201.85)","-54.77 (-60.29, -48.39)"
"Conejos County, Colorado",8021,"409.80 (374.47, 447.30)","387.62 (358.43, 420.02)","344.46 (317.82, 369.64)","333.89 (310.92, 356.66)","313.54 (290.30, 336.89)","272.87 (251.77, 293.66)","242.14 (222.40, 262.13)","232.09 (211.32, 251.16)","-43.37 (-49.48, -36.69)"
"Costilla County, Colorado",8023,"372.19 (335.70, 413.20)","345.11 (315.33, 379.22)","308.99 (282.32, 338.66)","288.64 (265.10, 315.35)","260.96 (237.75, 283.58)","231.91 (210.45, 254.02)","202.63 (182.72, 221.69)","206.44 (185.77, 229.65)","-44.53 (-51.74, -36.22)"
"Crowley County, Colorado",8025,"455.35 (415.79, 502.87)","429.19 (394.23, 469.56)","365.95 (338.58, 396.88)","342.66 (315.03, 371.66)","312.45 (287.36, 337.36)","269.61 (246.32, 294.67)","227.31 (205.02, 249.76)","222.76 (199.41, 248.31)","-51.08 (-57.31, -43.65)"
"Custer County, Colorado",8027,"353.21 (311.55, 395.34)","323.41 (287.51, 360.86)","281.44 (251.76, 310.55)","260.35 (233.67, 287.37)","233.64 (208.76, 259.96)","190.09 (168.68, 210.55)","157.65 (139.12, 175.65)","157.86 (137.76, 177.75)","-55.31 (-61.26, -48.08)"
"Delta County, Colorado",8029,"352.43 (328.22, 379.48)","334.88 (314.60, 356.39)","311.07 (292.38, 328.86)","307.48 (289.63, 324.42)","292.57 (276.51, 309.39)","264.50 (250.77, 279.31)","245.36 (231.63, 259.99)","252.35 (237.25, 268.76)","-28.40 (-35.09, -21.22)"
"Denver County, Colorado",8031,"394.97 (380.70, 409.03)","367.65 (355.01, 379.81)","332.26 (321.87, 342.76)","305.44 (294.61, 315.45)","277.82 (268.41, 287.15)","241.09 (233.62, 248.76)","200.86 (194.41, 206.99)","210.76 (204.08, 216.85)","-46.64 (-48.29, -44.71)"
"Dolores County, Colorado",8033,"358.58 (315.91, 406.55)","343.29 (307.19, 384.39)","306.69 (274.46, 341.97)","288.52 (258.89, 320.33)","268.68 (240.32, 301.58)","232.08 (205.65, 259.27)","205.04 (179.56, 232.84)","216.46 (187.24, 246.77)","-39.64 (-47.88, -29.13)"
"Douglas County, Colorado",8035,"435.57 (401.15, 468.58)","388.38 (360.60, 415.97)","317.25 (295.29, 340.55)","278.32 (260.86, 296.00)","233.36 (218.53, 248.51)","193.21 (182.10, 204.96)","155.71 (146.38, 165.86)","153.88 (145.07, 162.51)","-64.67 (-67.67, -61.27)"
"Eagle County, Colorado",8037,"338.20 (305.57, 372.64)","282.92 (258.89, 309.76)","227.00 (209.72, 247.21)","200.53 (184.90, 218.30)","174.22 (160.56, 189.27)","140.69 (129.94, 152.68)","113.12 (103.59, 123.06)","110.04 (100.30, 121.45)","-67.46 (-71.00, -63.46)"
"El Paso County, Colorado",8041,"410.03 (389.94, 430.34)","369.63 (352.28, 387.09)","332.18 (316.98, 347.19)","303.74 (291.26, 316.37)","288.56 (276.48, 300.66)","259.18 (249.19, 269.50)","218.12 (210.11, 226.80)","218.76 (210.47, 227.31)","-46.65 (-49.28, -43.82)"
"Elbert County, Colorado",8039,"382.22 (345.70, 420.49)","346.02 (317.50, 377.25)","299.16 (274.44, 325.29)","272.68 (252.40, 293.63)","244.76 (226.15, 263.15)","212.32 (195.83, 229.31)","175.59 (160.58, 190.99)","178.52 (162.71, 195.27)","-53.29 (-58.79, -47.05)"
"Fremont County, Colorado",8043,"480.31 (453.83, 507.56)","443.25 (418.91, 467.81)","399.00 (377.86, 420.28)","384.49 (364.64, 404.89)","353.89 (335.44, 372.44)","304.30 (288.60, 320.62)","258.44 (244.40, 272.02)","257.75 (243.54, 273.28)","-46.34 (-50.32, -41.93)"
"Garfield County, Colorado",8045,"368.34 (341.70, 397.41)","335.23 (311.84, 358.43)","290.70 (271.02, 311.41)","279.36 (261.86, 297.25)","256.94 (241.19, 271.77)","223.53 (210.00, 237.99)","193.78 (180.34, 206.56)","194.90 (181.72, 208.87)","-47.09 (-51.95, -42.01)"
"Gilpin County, Colorado",8047,"393.23 (342.53, 447.85)","369.88 (326.09, 415.58)","329.04 (291.72, 368.43)","303.57 (269.49, 338.89)","274.68 (245.58, 307.16)","232.08 (205.38, 262.11)","196.16 (172.17, 223.76)","208.91 (180.32, 242.08)","-46.87 (-55.18, -35.89)"
"Grand County, Colorado",8049,"415.66 (378.86, 460.25)","359.60 (329.16, 392.22)","301.34 (278.12, 327.49)","284.07 (261.73, 307.88)","264.02 (242.26, 287.15)","206.53 (187.71, 224.80)","165.56 (149.96, 181.43)","164.71 (147.71, 181.67)","-60.37 (-64.90, -55.51)"
"Gunnison County, Colorado",8051,"396.57 (358.94, 435.61)","367.19 (333.83, 399.78)","315.72 (288.63, 344.00)","289.73 (266.17, 314.74)","258.46 (238.54, 280.31)","219.78 (201.31, 240.50)","181.79 (165.99, 199.46)","179.07 (162.43, 197.35)","-54.84 (-59.57, -49.17)"
"Hinsdale County, Colorado",8053,"338.03 (280.56, 409.19)","257.60 (219.70, 299.50)","213.55 (182.32, 248.14)","181.68 (155.80, 212.24)","160.74 (136.70, 188.33)","144.20 (121.79, 169.70)","122.96 (103.29, 144.98)","110.65 (92.66, 131.39)","-67.27 (-72.79, -60.98)"
"Huerfano County, Colorado",8055,"419.62 (386.24, 454.72)","389.21 (361.04, 418.53)","343.68 (320.07, 369.14)","330.55 (307.75, 355.25)","311.91 (290.23, 333.01)","270.95 (252.11, 291.22)","252.52 (232.76, 272.07)","248.74 (227.17, 268.51)","-40.72 (-46.90, -33.71)"
"Jackson County, Colorado",8057,"368.87 (324.88, 416.43)","344.70 (304.77, 387.93)","303.99 (269.84, 340.34)","271.98 (240.24, 305.53)","236.98 (209.78, 265.44)","203.96 (179.05, 229.86)","170.62 (148.57, 196.87)","172.59 (148.90, 200.06)","-53.21 (-60.10, -45.24)"
"Jefferson County, Colorado",8059,"394.97 (380.70, 409.03)","367.65 (355.01, 379.81)","332.26 (321.87, 342.76)","305.44 (294.61, 315.45)","277.82 (268.41, 287.15)","241.09 (233.62, 248.76)","200.86 (194.41, 206.99)","210.76 (204.08, 216.85)","-46.64 (-48.29, -44.71)"
"Kiowa County, Colorado",8061,"442.07 (397.03, 488.50)","398.58 (361.93, 437.41)","348.16 (317.08, 380.79)","319.94 (290.94, 349.75)","285.64 (259.34, 315.44)","250.72 (225.95, 276.89)","223.01 (198.07, 248.89)","231.85 (204.34, 263.34)","-47.55 (-54.05, -39.21)"
"Kit Carson County, Colorado",8063,"425.88 (393.43, 462.02)","383.36 (355.63, 413.62)","324.97 (303.69, 347.89)","305.21 (284.18, 327.42)","289.75 (270.37, 309.94)","249.12 (231.20, 266.91)","212.39 (194.22, 229.70)","214.66 (196.34, 232.88)","-49.60 (-54.98, -43.63)"
"La Plata County, Colorado",8067,"394.90 (365.48, 424.56)","346.49 (323.02, 371.45)","297.44 (277.69, 317.20)","273.90 (256.35, 291.56)","247.18 (231.83, 262.62)","210.54 (198.14, 224.35)","180.31 (168.19, 191.73)","179.81 (167.23, 192.77)","-54.47 (-58.84, -49.77)"
"Lake County, Colorado",8065,"472.85 (422.34, 533.33)","422.92 (384.91, 470.39)","358.90 (324.08, 396.59)","338.44 (307.74, 373.39)","317.43 (288.42, 351.76)","260.18 (234.24, 287.99)","220.61 (197.62, 247.83)","207.67 (183.78, 233.46)","-56.08 (-61.80, -49.05)"
"Larimer County, Colorado",8069,"355.12 (335.03, 374.50)","337.74 (318.34, 356.35)","291.67 (277.41, 307.04)","273.23 (259.89, 286.90)","261.28 (249.63, 273.52)","223.97 (213.81, 233.00)","199.90 (190.41, 209.21)","197.38 (189.10, 206.05)","-44.42 (-47.86, -40.68)"
"Las Animas County, Colorado",8071,"449.96 (421.29, 481.79)","421.80 (395.53, 447.26)","377.16 (355.31, 397.57)","363.00 (343.73, 384.87)","334.68 (316.57, 353.22)","288.36 (271.99, 305.24)","252.89 (237.32, 268.71)","256.62 (239.14, 276.92)","-42.97 (-48.37, -36.97)"
"Lincoln County, Colorado",8073,"434.77 (400.33, 470.48)","396.99 (368.38, 427.68)","341.87 (317.20, 366.31)","322.37 (299.88, 345.54)","290.78 (268.40, 314.79)","253.48 (232.43, 274.28)","218.32 (200.32, 238.37)","210.21 (190.18, 232.07)","-51.65 (-56.96, -46.29)"
"Logan County, Colorado",8075,"426.33 (397.58, 458.62)","397.44 (373.37, 421.63)","356.85 (333.47, 378.54)","332.68 (313.51, 351.79)","313.54 (295.70, 330.18)","273.88 (258.42, 291.15)","238.95 (222.84, 253.91)","241.53 (226.19, 257.54)","-43.35 (-48.44, -37.00)"
"Mesa County, Colorado",8077,"385.60 (363.63, 407.45)","356.12 (339.55, 374.30)","326.18 (310.05, 341.73)","311.78 (298.04, 326.10)","298.14 (285.81, 311.80)","259.32 (247.97, 271.06)","235.51 (225.49, 246.75)","238.86 (227.89, 249.25)","-38.05 (-42.06, -33.64)"
"Mineral County, Colorado",8079,"356.49 (302.17, 420.75)","322.24 (275.26, 376.12)","279.55 (238.95, 326.37)","242.09 (207.73, 281.03)","211.14 (182.13, 246.04)","199.07 (168.95, 233.52)","169.04 (142.19, 199.30)","168.40 (139.28, 200.30)","-52.76 (-60.33, -43.57)"
"Moffat County, Colorado",8081,"414.35 (378.33, 448.88)","384.13 (356.36, 414.02)","340.54 (316.11, 367.32)","328.16 (305.69, 351.72)","305.19 (284.16, 327.48)","268.04 (248.01, 289.06)","234.42 (216.70, 253.56)","232.18 (213.39, 253.85)","-43.96 (-49.97, -37.22)"
"Montezuma County, Colorado",8083,"375.90 (347.30, 404.74)","349.81 (326.86, 374.61)","320.39 (300.18, 340.75)","309.38 (291.29, 329.06)","294.08 (278.05, 312.62)","258.23 (243.20, 274.28)","237.04 (222.52, 252.19)","243.73 (228.77, 259.61)","-35.16 (-41.11, -28.41)"
"Montrose County, Colorado",8085,"367.18 (341.36, 391.43)","348.03 (324.94, 370.60)","304.91 (285.69, 323.84)","292.45 (275.91, 308.51)","276.14 (261.60, 291.53)","241.06 (227.43, 254.61)","219.72 (207.82, 232.57)","219.69 (206.95, 232.15)","-40.17 (-45.03, -34.55)"
"Morgan County, Colorado",8087,"451.37 (420.55, 483.57)","416.40 (389.76, 444.30)","360.58 (338.59, 384.67)","333.87 (312.59, 354.92)","305.49 (287.03, 322.99)","259.39 (243.35, 275.98)","222.37 (207.95, 237.71)","219.08 (204.03, 235.65)","-51.46 (-55.95, -46.36)"
"Otero County, Colorado",8089,"454.22 (427.37, 484.99)","434.39 (409.48, 461.02)","387.77 (365.89, 410.00)","381.03 (360.57, 401.99)","349.82 (329.69, 370.51)","312.18 (294.82, 330.12)","273.65 (256.80, 291.27)","273.61 (255.46, 291.85)","-39.76 (-45.45, -33.98)"
"Ouray County, Colorado",8091,"310.45 (273.37, 351.62)","287.48 (257.58, 322.15)","251.27 (225.33, 280.60)","230.38 (206.94, 256.06)","207.07 (184.76, 230.17)","162.79 (145.64, 180.67)","146.12 (129.80, 163.25)","149.09 (132.52, 167.96)","-51.98 (-58.33, -43.97)"
